META DATA:
66 (объем бочки)
33 (текущий объем воды в бочке)
2020-08-24T01:19:44.406Z - [username3] - wanna scoop 39| (фэйл)
2020-11-11T12:19:44.426Z - [username2] - wanna top up 17| (успех)
2020-11-11T13:19:44.426Z - [username7] - wanna scoop 21| (успех)
2020-11-11T14:19:44.426Z - [username8] - wanna top up 20| (успех)
2020-11-11T15:19:44.426Z - [username10] - wanna top up 48| (фэйл)
2020-11-11T16:19:44.426Z - [username1] - wanna scoop 46| (фэйл)
2020-11-11T17:19:44.426Z - [username1] - wanna scoop 43| (фэйл)
2020-11-11T18:19:44.426Z - [username3] - wanna scoop 24| (успех)
2020-11-11T19:19:44.426Z - [username6] - wanna scoop 13| (фэйл)
2020-11-11T20:19:44.426Z - [username6] - wanna top up 13| (успех)
2020-11-11T21:19:44.426Z - [username1] - wanna top up 48| (успех)
2020-11-11T22:19:44.426Z - [username3] - wanna top up 11| (фэйл)
2020-11-11T23:19:44.426Z - [username6] - wanna scoop 50| (успех)
2020-11-12T00:19:44.426Z - [username10] - wanna scoop 36| (фэйл)
2020-11-12T01:19:44.426Z - [username2] - wanna scoop 16| (фэйл)
2020-11-12T02:19:44.426Z - [username2] - wanna top up 45| (успех)
2020-11-12T03:19:44.426Z - [username8] - wanna scoop 11| (успех)
2020-11-12T04:19:44.426Z - [username8] - wanna top up 20| (фэйл)
2020-11-12T05:19:44.426Z - [username2] - wanna scoop 36| (успех)
2020-11-12T06:19:44.426Z - [username1] - wanna top up 26| (успех)
2020-11-12T07:19:44.426Z - [username2] - wanna scoop 11| (успех)
2020-11-12T08:19:44.426Z - [username8] - wanna top up 12| (успех)
2020-11-12T09:19:44.426Z - [username10] - wanna top up 18| (успех)
2020-11-12T10:19:44.426Z - [username10] - wanna top up 43| (фэйл)
2020-11-12T11:19:44.426Z - [username9] - wanna scoop 21| (успех)
2020-11-12T12:19:44.426Z - [username3] - wanna top up 22| (успех)
2020-11-12T13:19:44.426Z - [username6] - wanna scoop 17| (успех)
2020-11-12T14:19:44.426Z - [username9] - wanna scoop 11| (успех)
2020-11-12T15:19:44.426Z - [username1] - wanna top up 40| (фэйл)
2020-11-12T16:19:44.426Z - [username1] - wanna top up 19| (успех)
2020-11-12T17:19:44.426Z - [username3] - wanna scoop 45| (успех)
2020-11-12T18:19:44.426Z - [username3] - wanna scoop 10| (фэйл)
2020-11-12T19:19:44.426Z - [username9] - wanna scoop 34| (фэйл)
2020-11-12T20:19:44.426Z - [username5] - wanna top up 46| (успех)
2020-11-12T21:19:44.426Z - [username5] - wanna scoop 21| (успех)
2020-11-12T22:19:44.426Z - [username3] - wanna top up 36| (успех)
2020-11-12T23:19:44.426Z - [username3] - wanna scoop 17| (успех)
2020-11-13T00:19:44.426Z - [username4] - wanna scoop 33| (успех)
2020-11-13T01:19:44.426Z - [username10] - wanna top up 40| (успех)
2020-11-13T02:19:44.426Z - [username2] - wanna top up 15| (фэйл)
2020-11-13T03:19:44.426Z - [username10] - wanna scoop 28| (успех)
2020-11-13T04:19:44.426Z - [username9] - wanna scoop 31| (фэйл)
2020-11-13T05:19:44.426Z - [username8] - wanna scoop 18| (успех)
2020-11-13T06:19:44.426Z - [username5] - wanna scoop 37| (фэйл)
2020-11-13T07:19:44.426Z - [username3] - wanna scoop 19| (фэйл)
2020-11-13T08:19:44.426Z - [username2] - wanna scoop 48| (фэйл)
2020-11-13T09:19:44.426Z - [username8] - wanna top up 16| (успех)
2020-11-13T10:19:44.426Z - [username1] - wanna scoop 32| (фэйл)
2020-11-13T11:19:44.426Z - [username8] - wanna scoop 30| (фэйл)
2020-11-13T12:19:44.426Z - [username6] - wanna scoop 35| (фэйл)
2020-11-13T13:19:44.426Z - [username1] - wanna scoop 50| (фэйл)
2020-11-13T14:19:44.426Z - [username6] - wanna top up 43| (фэйл)
2020-11-13T15:19:44.427Z - [username8] - wanna scoop 22| (успех)
2020-11-13T16:19:44.427Z - [username10] - wanna scoop 19| (фэйл)
2020-11-13T17:19:44.427Z - [username3] - wanna top up 36| (успех)
2020-11-13T18:19:44.427Z - [username4] - wanna top up 27| (фэйл)
2020-11-13T19:19:44.427Z - [username10] - wanna top up 44| (фэйл)
2020-11-13T20:19:44.427Z - [username4] - wanna scoop 39| (успех)
2020-11-13T21:19:44.427Z - [username2] - wanna top up 23| (успех)
2020-11-13T22:19:44.427Z - [username5] - wanna scoop 38| (фэйл)
2020-11-13T23:19:44.427Z - [username6] - wanna scoop 10| (успех)
2020-11-14T00:19:44.427Z - [username7] - wanna scoop 34| (фэйл)
2020-11-14T01:19:44.427Z - [username2] - wanna scoop 41| (фэйл)
2020-11-14T02:19:44.427Z - [username3] - wanna top up 39| (успех)
2020-11-14T03:19:44.427Z - [username8] - wanna scoop 19| (успех)
2020-11-14T04:19:44.427Z - [username6] - wanna scoop 46| (фэйл)
2020-11-14T05:19:44.427Z - [username5] - wanna top up 14| (успех)
2020-11-14T06:19:44.427Z - [username9] - wanna top up 15| (успех)
2020-11-14T07:19:44.427Z - [username1] - wanna scoop 25| (успех)
2020-11-14T08:19:44.427Z - [username7] - wanna top up 34| (фэйл)
2020-11-14T09:19:44.427Z - [username1] - wanna scoop 24| (успех)
2020-11-14T10:19:44.427Z - [username8] - wanna top up 39| (успех)
2020-11-14T11:19:44.427Z - [username5] - wanna scoop 50| (успех)
2020-11-14T12:19:44.427Z - [username5] - wanna top up 38| (успех)
2020-11-14T13:19:44.427Z - [username7] - wanna top up 22| (успех)
2020-11-14T14:19:44.427Z - [username4] - wanna top up 21| (фэйл)
2020-11-14T15:19:44.427Z - [username8] - wanna top up 30| (фэйл)
2020-11-14T16:19:44.427Z - [username2] - wanna scoop 20| (успех)
2020-11-14T17:19:44.427Z - [username3] - wanna scoop 40| (успех)
2020-11-14T18:19:44.427Z - [username4] - wanna top up 30| (успех)
2020-11-14T19:19:44.427Z - [username8] - wanna top up 49| (фэйл)
2020-11-14T20:19:44.427Z - [username1] - wanna scoop 36| (фэйл)
2020-11-14T21:19:44.427Z - [username1] - wanna scoop 15| (успех)
2020-11-14T22:19:44.427Z - [username9] - wanna scoop 13| (успех)
2020-11-14T23:19:44.427Z - [username1] - wanna scoop 19| (фэйл)
2020-11-15T00:19:44.427Z - [username3] - wanna top up 17| (успех)
2020-11-15T01:19:44.427Z - [username2] - wanna scoop 35| (фэйл)
2020-11-15T02:19:44.427Z - [username5] - wanna scoop 26| (фэйл)
2020-11-15T03:19:44.427Z - [username3] - wanna scoop 50| (фэйл)
2020-11-15T04:19:44.427Z - [username5] - wanna scoop 37| (фэйл)
2020-11-15T05:19:44.427Z - [username8] - wanna scoop 24| (фэйл)
2020-11-15T06:19:44.427Z - [username1] - wanna scoop 34| (фэйл)
2020-11-15T07:19:44.427Z - [username6] - wanna scoop 42| (фэйл)
2020-11-15T08:19:44.427Z - [username3] - wanna scoop 25| (фэйл)
2020-11-15T09:19:44.427Z - [username3] - wanna top up 19| (успех)
2020-11-15T10:19:44.427Z - [username6] - wanna top up 40| (фэйл)
2020-11-15T11:19:44.427Z - [username3] - wanna scoop 22| (успех)
2020-11-15T12:19:44.427Z - [username9] - wanna top up 32| (успех)
2020-11-15T13:19:44.427Z - [username1] - wanna top up 30| (фэйл)
2020-11-15T14:19:44.427Z - [username4] - wanna top up 13| (успех)
2020-11-15T15:19:44.427Z - [username9] - wanna top up 43| (фэйл)
2020-11-15T16:19:44.427Z - [username7] - wanna top up 43| (фэйл)
2020-11-15T17:19:44.427Z - [username2] - wanna top up 34| (фэйл)
2020-11-15T18:19:44.427Z - [username6] - wanna top up 24| (фэйл)
2020-11-15T19:19:44.427Z - [username3] - wanna top up 15| (фэйл)
2020-11-15T20:19:44.427Z - [username10] - wanna top up 39| (фэйл)
2020-11-15T21:19:44.427Z - [username8] - wanna top up 27| (фэйл)
2020-11-15T22:19:44.427Z - [username2] - wanna top up 36| (фэйл)
2020-11-15T23:19:44.427Z - [username5] - wanna top up 42| (фэйл)
2020-11-16T00:19:44.427Z - [username4] - wanna top up 50| (фэйл)
2020-11-16T01:19:44.427Z - [username6] - wanna scoop 24| (успех)
2020-11-16T02:19:44.427Z - [username10] - wanna scoop 30| (успех)
2020-11-16T03:19:44.427Z - [username1] - wanna scoop 24| (фэйл)
2020-11-16T04:19:44.427Z - [username8] - wanna scoop 41| (фэйл)
2020-11-16T05:19:44.427Z - [username6] - wanna top up 38| (успех)
2020-11-16T06:19:44.427Z - [username6] - wanna scoop 41| (успех)
2020-11-16T07:19:44.427Z - [username7] - wanna scoop 10| (фэйл)
2020-11-16T08:19:44.427Z - [username5] - wanna top up 49| (успех)
2020-11-16T09:19:44.427Z - [username4] - wanna scoop 29| (успех)
2020-11-16T10:19:44.427Z - [username8] - wanna scoop 37| (фэйл)
2020-11-16T11:19:44.427Z - [username10] - wanna top up 26| (успех)
2020-11-16T12:19:44.427Z - [username4] - wanna top up 19| (фэйл)
2020-11-16T13:19:44.427Z - [username7] - wanna scoop 32| (успех)
2020-11-16T14:19:44.427Z - [username3] - wanna top up 39| (успех)
2020-11-16T15:19:44.427Z - [username10] - wanna top up 35| (фэйл)
2020-11-16T16:19:44.427Z - [username6] - wanna top up 30| (фэйл)
2020-11-16T17:19:44.427Z - [username1] - wanna top up 15| (фэйл)
2020-11-16T18:19:44.427Z - [username1] - wanna scoop 43| (успех)
2020-11-16T19:19:44.427Z - [username7] - wanna top up 16| (успех)
2020-11-16T20:19:44.427Z - [username7] - wanna scoop 43| (фэйл)
2020-11-16T21:19:44.427Z - [username3] - wanna top up 20| (успех)
2020-11-16T22:19:44.427Z - [username10] - wanna scoop 49| (успех)
2020-11-16T23:19:44.427Z - [username4] - wanna scoop 10| (фэйл)
2020-11-17T00:19:44.427Z - [username6] - wanna scoop 12| (фэйл)
2020-11-17T01:19:44.427Z - [username8] - wanna scoop 41| (фэйл)
2020-11-17T02:19:44.427Z - [username1] - wanna top up 49| (успех)
2020-11-17T03:19:44.427Z - [username6] - wanna top up 49| (фэйл)
2020-11-17T04:19:44.427Z - [username2] - wanna top up 39| (фэйл)
2020-11-17T05:19:44.427Z - [username8] - wanna scoop 30| (успех)
2020-11-17T06:19:44.427Z - [username3] - wanna scoop 41| (фэйл)
2020-11-17T07:19:44.427Z - [username6] - wanna scoop 43| (фэйл)
2020-11-17T08:19:44.427Z - [username3] - wanna top up 40| (успех)
2020-11-17T09:19:44.427Z - [username7] - wanna scoop 36| (успех)
2020-11-17T10:19:44.427Z - [username2] - wanna top up 45| (фэйл)
2020-11-17T11:19:44.427Z - [username1] - wanna top up 49| (фэйл)
2020-11-17T12:19:44.427Z - [username3] - wanna scoop 24| (успех)
2020-11-17T13:19:44.427Z - [username6] - wanna scoop 46| (фэйл)
2020-11-17T14:19:44.427Z - [username5] - wanna top up 29| (успех)
2020-11-17T15:19:44.427Z - [username7] - wanna top up 37| (фэйл)
2020-11-17T16:19:44.427Z - [username3] - wanna top up 45| (фэйл)
2020-11-17T17:19:44.427Z - [username1] - wanna top up 24| (успех)
2020-11-17T18:19:44.427Z - [username7] - wanna top up 16| (фэйл)
2020-11-17T19:19:44.427Z - [username7] - wanna top up 33| (фэйл)
2020-11-17T20:19:44.427Z - [username6] - wanna top up 30| (фэйл)
2020-11-17T21:19:44.427Z - [username6] - wanna top up 38| (фэйл)
2020-11-17T22:19:44.427Z - [username9] - wanna top up 21| (фэйл)
2020-11-17T23:19:44.427Z - [username1] - wanna scoop 13| (успех)
2020-11-18T00:19:44.427Z - [username8] - wanna scoop 48| (фэйл)
2020-11-18T01:19:44.427Z - [username5] - wanna top up 23| (успех)
2020-11-18T02:19:44.427Z - [username4] - wanna scoop 27| (успех)
2020-11-18T03:19:44.427Z - [username7] - wanna top up 49| (фэйл)
2020-11-18T04:19:44.427Z - [username3] - wanna top up 15| (успех)
2020-11-18T05:19:44.428Z - [username7] - wanna scoop 10| (успех)
2020-11-18T06:19:44.428Z - [username1] - wanna scoop 44| (успех)
2020-11-18T07:19:44.428Z - [username1] - wanna scoop 45| (фэйл)
2020-11-18T08:19:44.428Z - [username7] - wanna top up 37| (успех)
2020-11-18T09:19:44.428Z - [username8] - wanna scoop 21| (успех)
2020-11-18T10:19:44.428Z - [username7] - wanna top up 10| (успех)
2020-11-18T11:19:44.428Z - [username5] - wanna top up 44| (фэйл)
2020-11-18T12:19:44.428Z - [username6] - wanna top up 15| (успех)
2020-11-18T13:19:44.428Z - [username8] - wanna top up 23| (успех)
2020-11-18T14:19:44.428Z - [username9] - wanna top up 22| (фэйл)
2020-11-18T15:19:44.428Z - [username4] - wanna scoop 33| (успех)
2020-11-18T16:19:44.428Z - [username8] - wanna scoop 13| (успех)
2020-11-18T17:19:44.428Z - [username8] - wanna scoop 18| (успех)
2020-11-18T18:19:44.428Z - [username6] - wanna scoop 35| (фэйл)
2020-11-18T19:19:44.428Z - [username3] - wanna scoop 39| (фэйл)
2020-11-18T20:19:44.428Z - [username5] - wanna scoop 21| (фэйл)
2020-11-18T21:19:44.428Z - [username6] - wanna top up 10| (успех)
2020-11-18T22:19:44.428Z - [username6] - wanna top up 31| (успех)
2020-11-18T23:19:44.428Z - [username6] - wanna top up 50| (фэйл)
2020-11-19T00:19:44.428Z - [username5] - wanna scoop 37| (успех)
2020-11-19T01:19:44.428Z - [username4] - wanna scoop 44| (фэйл)
2020-11-19T02:19:44.428Z - [username10] - wanna top up 33| (успех)
2020-11-19T03:19:44.428Z - [username1] - wanna scoop 24| (успех)
2020-11-19T04:19:44.428Z - [username4] - wanna top up 50| (успех)
2020-11-19T05:19:44.428Z - [username10] - wanna top up 46| (фэйл)
2020-11-19T06:19:44.428Z - [username3] - wanna top up 47| (фэйл)
2020-11-19T07:19:44.428Z - [username8] - wanna scoop 25| (успех)
2020-11-19T08:19:44.428Z - [username10] - wanna scoop 21| (успех)
2020-11-19T09:19:44.428Z - [username1] - wanna scoop 11| (успех)
2020-11-19T10:19:44.428Z - [username4] - wanna top up 25| (успех)
2020-11-19T11:19:44.428Z - [username10] - wanna top up 42| (фэйл)
2020-11-19T12:19:44.428Z - [username8] - wanna top up 37| (фэйл)
2020-11-19T13:19:44.428Z - [username8] - wanna top up 40| (фэйл)
2020-11-19T14:19:44.428Z - [username2] - wanna scoop 21| (успех)
2020-11-19T15:19:44.428Z - [username2] - wanna scoop 35| (фэйл)
2020-11-19T16:19:44.428Z - [username9] - wanna top up 42| (успех)
2020-11-19T17:19:44.428Z - [username6] - wanna scoop 21| (успех)
2020-11-19T18:19:44.428Z - [username6] - wanna top up 49| (фэйл)
2020-11-19T19:19:44.428Z - [username7] - wanna scoop 32| (фэйл)
2020-11-19T20:19:44.428Z - [username2] - wanna top up 19| (успех)
2020-11-19T21:19:44.428Z - [username1] - wanna scoop 23| (успех)
2020-11-19T22:19:44.428Z - [username1] - wanna top up 27| (успех)
2020-11-19T23:19:44.428Z - [username4] - wanna scoop 27| (успех)
2020-11-20T00:19:44.428Z - [username2] - wanna scoop 12| (успех)
2020-11-20T01:19:44.428Z - [username4] - wanna top up 24| (успех)
2020-11-20T02:19:44.428Z - [username3] - wanna top up 43| (фэйл)
2020-11-20T03:19:44.428Z - [username9] - wanna top up 20| (успех)
2020-11-20T04:19:44.428Z - [username5] - wanna top up 37| (фэйл)
2020-11-20T05:19:44.428Z - [username8] - wanna top up 43| (фэйл)
2020-11-20T06:19:44.428Z - [username6] - wanna top up 37| (фэйл)
2020-11-20T07:19:44.428Z - [username5] - wanna scoop 17| (успех)
2020-11-20T08:19:44.428Z - [username9] - wanna top up 32| (фэйл)
2020-11-20T09:19:44.428Z - [username8] - wanna top up 11| (успех)
2020-11-20T10:19:44.428Z - [username8] - wanna top up 37| (фэйл)
2020-11-20T11:19:44.428Z - [username8] - wanna scoop 21| (успех)
2020-11-20T12:19:44.428Z - [username8] - wanna scoop 35| (фэйл)
2020-11-20T13:19:44.428Z - [username8] - wanna scoop 16| (успех)
2020-11-20T14:19:44.428Z - [username8] - wanna top up 17| (успех)
2020-11-20T15:19:44.428Z - [username9] - wanna scoop 18| (успех)
2020-11-20T16:19:44.428Z - [username8] - wanna top up 45| (успех)
2020-11-20T17:19:44.428Z - [username9] - wanna scoop 22| (успех)
2020-11-20T18:19:44.428Z - [username8] - wanna scoop 35| (успех)
2020-11-20T19:19:44.428Z - [username6] - wanna scoop 10| (фэйл)
2020-11-20T20:19:44.428Z - [username1] - wanna scoop 29| (фэйл)
2020-11-20T21:19:44.428Z - [username3] - wanna top up 40| (успех)
2020-11-20T22:19:44.428Z - [username9] - wanna scoop 50| (фэйл)
2020-11-20T23:19:44.428Z - [username6] - wanna scoop 30| (успех)
2020-11-21T00:19:44.428Z - [username3] - wanna top up 45| (успех)
2020-11-21T01:19:44.428Z - [username7] - wanna scoop 22| (успех)
2020-11-21T02:19:44.428Z - [username10] - wanna scoop 29| (успех)
2020-11-21T03:19:44.428Z - [username8] - wanna top up 20| (успех)
2020-11-21T04:19:44.428Z - [username10] - wanna scoop 19| (успех)
2020-11-21T05:19:44.428Z - [username2] - wanna scoop 48| (фэйл)
2020-11-21T06:19:44.428Z - [username5] - wanna top up 11| (успех)
2020-11-21T07:19:44.428Z - [username4] - wanna top up 32| (успех)
2020-11-21T08:19:44.428Z - [username5] - wanna scoop 36| (успех)
2020-11-21T09:19:44.428Z - [username7] - wanna top up 36| (успех)
2020-11-21T10:19:44.428Z - [username1] - wanna top up 27| (фэйл)
2020-11-21T11:19:44.429Z - [username5] - wanna scoop 45| (успех)
2020-11-21T12:19:44.429Z - [username4] - wanna scoop 37| (фэйл)
2020-11-21T13:19:44.429Z - [username6] - wanna scoop 19| (фэйл)
2020-11-21T14:19:44.429Z - [username8] - wanna top up 12| (успех)
2020-11-21T15:19:44.429Z - [username6] - wanna scoop 18| (успех)
2020-11-21T16:19:44.429Z - [username4] - wanna top up 44| (успех)
2020-11-21T17:19:44.429Z - [username9] - wanna scoop 13| (успех)
2020-11-21T18:19:44.429Z - [username9] - wanna scoop 41| (фэйл)
2020-11-21T19:19:44.429Z - [username8] - wanna top up 11| (успех)
2020-11-21T20:19:44.429Z - [username6] - wanna scoop 35| (успех)
2020-11-21T21:19:44.429Z - [username10] - wanna top up 28| (успех)
2020-11-21T22:19:44.429Z - [username6] - wanna top up 33| (фэйл)
2020-11-21T23:19:44.429Z - [username2] - wanna scoop 38| (фэйл)
2020-11-22T00:19:44.429Z - [username4] - wanna top up 12| (успех)
2020-11-22T01:19:44.429Z - [username3] - wanna scoop 44| (успех)
2020-11-22T02:19:44.429Z - [username3] - wanna scoop 34| (фэйл)
2020-11-22T03:19:44.429Z - [username6] - wanna top up 32| (успех)
2020-11-22T04:19:44.429Z - [username4] - wanna top up 42| (фэйл)
2020-11-22T05:19:44.429Z - [username5] - wanna scoop 50| (фэйл)
2020-11-22T06:19:44.429Z - [username8] - wanna scoop 23| (успех)
2020-11-22T07:19:44.429Z - [username5] - wanna top up 28| (успех)
2020-11-22T08:19:44.429Z - [username10] - wanna top up 33| (фэйл)
2020-11-22T09:19:44.429Z - [username9] - wanna top up 40| (фэйл)
2020-11-22T10:19:44.429Z - [username6] - wanna scoop 26| (успех)
2020-11-22T11:19:44.429Z - [username8] - wanna scoop 23| (фэйл)
2020-11-22T12:19:44.429Z - [username10] - wanna scoop 40| (фэйл)
2020-11-22T13:19:44.429Z - [username9] - wanna top up 27| (успех)
2020-11-22T14:19:44.429Z - [username7] - wanna top up 28| (фэйл)
2020-11-22T15:19:44.429Z - [username3] - wanna top up 21| (успех)
2020-11-22T16:19:44.429Z - [username6] - wanna scoop 14| (успех)
2020-11-22T17:19:44.429Z - [username6] - wanna top up 35| (фэйл)
2020-11-22T18:19:44.429Z - [username6] - wanna scoop 50| (фэйл)
2020-11-22T19:19:44.429Z - [username10] - wanna top up 28| (фэйл)
2020-11-22T20:19:44.429Z - [username9] - wanna scoop 38| (успех)
2020-11-22T21:19:44.429Z - [username4] - wanna scoop 20| (фэйл)
2020-11-22T22:19:44.429Z - [username4] - wanna top up 49| (успех)
2020-11-22T23:19:44.429Z - [username5] - wanna scoop 17| (успех)
2020-11-23T00:19:44.429Z - [username3] - wanna scoop 44| (фэйл)
2020-11-23T01:19:44.429Z - [username1] - wanna scoop 15| (успех)
2020-11-23T02:19:44.429Z - [username10] - wanna scoop 22| (успех)
2020-11-23T03:19:44.429Z - [username5] - wanna scoop 22| (фэйл)
2020-11-23T04:19:44.429Z - [username3] - wanna scoop 36| (фэйл)
2020-11-23T05:19:44.429Z - [username8] - wanna scoop 26| (фэйл)
2020-11-23T06:19:44.429Z - [username6] - wanna top up 16| (успех)
2020-11-23T07:19:44.429Z - [username6] - wanna scoop 48| (фэйл)
2020-11-23T08:19:44.429Z - [username5] - wanna scoop 39| (фэйл)
2020-11-23T09:19:44.429Z - [username10] - wanna top up 39| (успех)
2020-11-23T10:19:44.429Z - [username2] - wanna scoop 34| (успех)
2020-11-23T11:19:44.429Z - [username2] - wanna top up 25| (успех)
2020-11-23T12:19:44.429Z - [username4] - wanna top up 18| (фэйл)
2020-11-23T13:19:44.429Z - [username9] - wanna top up 25| (фэйл)
2020-11-23T14:19:44.429Z - [username3] - wanna scoop 49| (успех)
2020-11-23T15:19:44.429Z - [username9] - wanna scoop 30| (фэйл)
2020-11-23T16:19:44.429Z - [username3] - wanna top up 39| (успех)
2020-11-23T17:19:44.429Z - [username8] - wanna scoop 22| (успех)
2020-11-23T18:19:44.429Z - [username2] - wanna scoop 27| (фэйл)
2020-11-23T19:19:44.429Z - [username8] - wanna top up 14| (успех)
2020-11-23T20:19:44.429Z - [username4] - wanna top up 23| (успех)
2020-11-23T21:19:44.429Z - [username10] - wanna top up 12| (фэйл)
2020-11-23T22:19:44.429Z - [username1] - wanna top up 48| (фэйл)
2020-11-23T23:19:44.429Z - [username8] - wanna top up 34| (фэйл)
2020-11-24T00:19:44.429Z - [username9] - wanna scoop 40| (успех)
2020-11-24T01:19:44.429Z - [username5] - wanna top up 11| (успех)
2020-11-24T02:19:44.429Z - [username10] - wanna top up 43| (фэйл)
2020-11-24T03:19:44.429Z - [username7] - wanna scoop 48| (фэйл)
2020-11-24T04:19:44.429Z - [username7] - wanna top up 40| (фэйл)
2020-11-24T05:19:44.429Z - [username8] - wanna scoop 41| (фэйл)
2020-11-24T06:19:44.429Z - [username2] - wanna top up 10| (успех)
2020-11-24T07:19:44.429Z - [username5] - wanna scoop 47| (фэйл)
2020-11-24T08:19:44.429Z - [username10] - wanna scoop 20| (успех)
2020-11-24T09:19:44.429Z - [username2] - wanna scoop 45| (фэйл)
2020-11-24T10:19:44.429Z - [username1] - wanna scoop 17| (успех)
2020-11-24T11:19:44.429Z - [username1] - wanna top up 26| (успех)
2020-11-24T12:19:44.429Z - [username9] - wanna scoop 33| (фэйл)
2020-11-24T13:19:44.429Z - [username7] - wanna top up 20| (успех)
2020-11-24T14:19:44.429Z - [username9] - wanna top up 39| (фэйл)
2020-11-24T15:19:44.429Z - [username6] - wanna top up 12| (успех)
2020-11-24T16:19:44.429Z - [username8] - wanna top up 24| (фэйл)
2020-11-24T17:19:44.429Z - [username2] - wanna scoop 20| (успех)
2020-11-24T18:19:44.429Z - [username2] - wanna top up 27| (успех)
2020-11-24T19:19:44.429Z - [username9] - wanna scoop 26| (успех)
2020-11-24T20:19:44.429Z - [username7] - wanna top up 45| (фэйл)
2020-11-24T21:19:44.429Z - [username4] - wanna top up 48| (фэйл)
2020-11-24T22:19:44.429Z - [username1] - wanna top up 31| (фэйл)
2020-11-24T23:19:44.429Z - [username9] - wanna scoop 12| (успех)
2020-11-25T00:19:44.429Z - [username2] - wanna top up 15| (успех)
2020-11-25T01:19:44.429Z - [username5] - wanna top up 22| (успех)
2020-11-25T02:19:44.429Z - [username7] - wanna top up 43| (фэйл)
2020-11-25T03:19:44.429Z - [username10] - wanna top up 14| (фэйл)
2020-11-25T04:19:44.429Z - [username5] - wanna top up 18| (фэйл)
2020-11-25T05:19:44.429Z - [username4] - wanna scoop 38| (успех)
2020-11-25T06:19:44.430Z - [username9] - wanna scoop 30| (фэйл)
2020-11-25T07:19:44.430Z - [username3] - wanna top up 31| (успех)
2020-11-25T08:19:44.430Z - [username1] - wanna scoop 15| (успех)
2020-11-25T09:19:44.430Z - [username1] - wanna top up 27| (фэйл)
2020-11-25T10:19:44.430Z - [username9] - wanna top up 15| (успех)
2020-11-25T11:19:44.430Z - [username7] - wanna scoop 25| (успех)
2020-11-25T12:19:44.430Z - [username5] - wanna scoop 40| (фэйл)
2020-11-25T13:19:44.430Z - [username10] - wanna top up 19| (успех)
2020-11-25T14:19:44.430Z - [username8] - wanna top up 39| (фэйл)
2020-11-25T15:19:44.430Z - [username8] - wanna scoop 31| (успех)
2020-11-25T16:19:44.430Z - [username7] - wanna scoop 25| (фэйл)
2020-11-25T17:19:44.430Z - [username4] - wanna scoop 16| (успех)
2020-11-25T18:19:44.430Z - [username9] - wanna scoop 23| (фэйл)
2020-11-25T19:19:44.430Z - [username8] - wanna top up 25| (успех)
2020-11-25T20:19:44.430Z - [username5] - wanna scoop 14| (успех)
2020-11-25T21:19:44.430Z - [username6] - wanna scoop 41| (фэйл)
2020-11-25T22:19:44.430Z - [username5] - wanna top up 16| (успех)
2020-11-25T23:19:44.430Z - [username5] - wanna top up 47| (фэйл)
2020-11-26T00:19:44.430Z - [username3] - wanna top up 33| (успех)
2020-11-26T01:19:44.430Z - [username1] - wanna scoop 41| (успех)
2020-11-26T02:19:44.430Z - [username8] - wanna scoop 34| (фэйл)
2020-11-26T03:19:44.430Z - [username4] - wanna top up 34| (успех)
2020-11-26T04:19:44.430Z - [username4] - wanna scoop 45| (успех)
2020-11-26T05:19:44.430Z - [username5] - wanna top up 38| (успех)
2020-11-26T06:19:44.430Z - [username9] - wanna top up 23| (фэйл)
2020-11-26T07:19:44.430Z - [username1] - wanna top up 47| (фэйл)
2020-11-26T08:19:44.430Z - [username5] - wanna top up 40| (фэйл)
2020-11-26T09:19:44.430Z - [username6] - wanna top up 25| (фэйл)
2020-11-26T10:19:44.430Z - [username3] - wanna top up 22| (фэйл)
2020-11-26T11:19:44.430Z - [username6] - wanna scoop 14| (успех)
2020-11-26T12:19:44.430Z - [username10] - wanna scoop 15| (успех)
2020-11-26T13:19:44.430Z - [username2] - wanna top up 29| (успех)
2020-11-26T14:19:44.430Z - [username3] - wanna scoop 47| (успех)
2020-11-26T15:19:44.430Z - [username9] - wanna top up 22| (успех)
2020-11-26T16:19:44.430Z - [username3] - wanna scoop 39| (фэйл)
2020-11-26T17:19:44.430Z - [username1] - wanna scoop 10| (успех)
2020-11-26T18:19:44.430Z - [username9] - wanna top up 49| (успех)
2020-11-26T19:19:44.430Z - [username1] - wanna scoop 39| (успех)
2020-11-26T20:19:44.430Z - [username10] - wanna top up 30| (успех)
2020-11-26T21:19:44.430Z - [username7] - wanna top up 15| (фэйл)
2020-11-26T22:19:44.430Z - [username6] - wanna top up 42| (фэйл)
2020-11-26T23:19:44.430Z - [username6] - wanna scoop 22| (успех)
2020-11-27T00:19:44.430Z - [username7] - wanna scoop 28| (успех)
2020-11-27T01:19:44.430Z - [username10] - wanna top up 28| (успех)
2020-11-27T02:19:44.430Z - [username5] - wanna scoop 30| (успех)
2020-11-27T03:19:44.430Z - [username2] - wanna scoop 18| (фэйл)
2020-11-27T04:19:44.430Z - [username3] - wanna top up 18| (успех)
2020-11-27T05:19:44.430Z - [username9] - wanna scoop 17| (успех)
2020-11-27T06:19:44.430Z - [username10] - wanna scoop 25| (фэйл)
2020-11-27T07:19:44.430Z - [username4] - wanna scoop 42| (фэйл)
2020-11-27T08:19:44.430Z - [username9] - wanna top up 36| (успех)
2020-11-27T09:19:44.430Z - [username8] - wanna scoop 34| (успех)
